Date,Q,N
11/11/2020 08:33:39,Q1,81
11/11/2020 08:33:39,Q3,80
11/11/2020 08:33:39,Q4,60
11/11/2020 08:33:39,Q5,74
11/11/2020 08:33:39,Q6,65
11/11/2020 08:33:39,Q7,43
11/11/2020 08:33:39,Q8,54
11/11/2020 08:33:39,Q9,70
11/11/2020 08:33:39,Q10,66
11/11/2020 08:33:39,Q11,55

11/11/2020 09:36:18,Q1,44
11/11/2020 09:36:18,Q3,54
11/11/2020 09:36:18,Q4,51
11/11/2020 09:36:18,Q5,28
11/11/2020 09:36:18,Q6,46
11/11/2020 09:36:18,Q7,48
11/11/2020 09:36:18,Q8,44
11/11/2020 09:36:18,Q9,27
11/11/2020 09:36:18,Q10,66
11/11/2020 09:36:18,Q11,74

11/11/2020 09:35:08,Q1,100
11/11/2020 09:35:08,Q3,68
11/11/2020 09:35:08,Q4,100
11/11/2020 09:35:08,Q5,17
11/11/2020 09:35:08,Q6,40
11/11/2020 09:35:08,Q7,45
11/11/2020 09:35:08,Q8,70
11/11/2020 09:35:08,Q9,29
11/11/2020 09:35:08,Q10,60
11/11/2020 09:35:08,Q11,60

11/11/2020 09:35:28,Q1,15
11/11/2020 09:35:28,Q3,100
11/11/2020 09:35:28,Q4,100
11/11/2020 09:35:28,Q5,20
11/11/2020 09:35:28,Q6,66
11/11/2020 09:35:28,Q7,93
11/11/2020 09:35:28,Q8,70
11/11/2020 09:35:28,Q9,45
11/11/2020 09:35:28,Q10,62
11/11/2020 09:35:28,Q11,66

11/11/2020 09:36:31,Q1,24
11/11/2020 09:36:31,Q3,100
11/11/2020 09:36:31,Q4,85
11/11/2020 09:36:31,Q5,19
11/11/2020 09:36:31,Q6,80
11/11/2020 09:36:31,Q7,86
11/11/2020 09:36:31,Q8,81
11/11/2020 09:36:31,Q9,23
11/11/2020 09:36:31,Q10,66
11/11/2020 09:36:31,Q11,60

11/11/2020 09:36:25,Q1,30
11/11/2020 09:36:25,Q3,90
11/11/2020 09:36:25,Q4,96
11/11/2020 09:36:25,Q5,19
11/11/2020 09:36:25,Q6,75
11/11/2020 09:36:25,Q7,90
11/11/2020 09:36:25,Q8,76
11/11/2020 09:36:25,Q9,30
11/11/2020 09:36:25,Q10,75
11/11/2020 09:36:25,Q11,76

11/11/2020 09:36:35,Q1,40
11/11/2020 09:36:35,Q3,60
11/11/2020 09:36:35,Q4,25
11/11/2020 09:36:35,Q5,25
11/11/2020 09:36:35,Q6,40
11/11/2020 09:36:35,Q7,45
11/11/2020 09:36:35,Q8,80
11/11/2020 09:36:35,Q9,40
11/11/2020 09:36:35,Q10,40
11/11/2020 09:36:35,Q11,80

11/11/2020 09:35:20,Q1,40
11/11/2020 09:35:20,Q3,100
11/11/2020 09:35:20,Q4,80
11/11/2020 09:35:20,Q5,20
11/11/2020 09:35:20,Q6,80
11/11/2020 09:35:20,Q7,92
11/11/2020 09:35:20,Q8,80
11/11/2020 09:35:20,Q9,47
11/11/2020 09:35:20,Q10,75
11/11/2020 09:35:20,Q11,76

11/11/2020 09:35:50,Q1,20
11/11/2020 09:35:50,Q3,92
11/11/2020 09:35:50,Q4,86
11/11/2020 09:35:50,Q5,6
11/11/2020 09:35:50,Q6,41
11/11/2020 09:35:50,Q7,46
11/11/2020 09:35:50,Q8,83
11/11/2020 09:35:50,Q9,44
11/11/2020 09:35:50,Q10,80
11/11/2020 09:35:50,Q11,76

11/11/2020 09:23:24,Q1,25
11/11/2020 09:23:24,Q3,100
11/11/2020 09:23:24,Q4,63
11/11/2020 09:23:24,Q5,55
11/11/2020 09:23:24,Q6,60
11/11/2020 09:23:24,Q7,45
11/11/2020 09:23:24,Q8,75
11/11/2020 09:23:24,Q9,40
11/11/2020 09:23:24,Q10,76
11/11/2020 09:23:24,Q11,14

11/11/2020 09:37:10,Q1,25
11/11/2020 09:37:10,Q3,100
11/11/2020 09:37:10,Q4,100
11/11/2020 09:37:10,Q5,20
11/11/2020 09:37:10,Q6,33
11/11/2020 09:37:10,Q7,45
11/11/2020 09:37:10,Q8,80
11/11/2020 09:37:10,Q9,30
11/11/2020 09:37:10,Q10,75
11/11/2020 09:37:10,Q11,75

11/11/2020 09:34:41,Q1,40
11/11/2020 09:34:41,Q3,85
11/11/2020 09:34:41,Q4,70
11/11/2020 09:34:41,Q5,65
11/11/2020 09:34:41,Q6,40
11/11/2020 09:34:41,Q7,40
11/11/2020 09:34:41,Q8,75
11/11/2020 09:34:41,Q9,40
11/11/2020 09:34:41,Q10,80
11/11/2020 09:34:41,Q11,75

11/11/2020 09:36:03,Q1,50
11/11/2020 09:36:03,Q3,100
11/11/2020 09:36:03,Q4,85
11/11/2020 09:36:03,Q5,20
11/11/2020 09:36:03,Q6,45
11/11/2020 09:36:03,Q7,45
11/11/2020 09:36:03,Q8,80
11/11/2020 09:36:03,Q9,40
11/11/2020 09:36:03,Q10,66
11/11/2020 09:36:03,Q11,83

11/11/2020 09:38:12,Q1,20
11/11/2020 09:38:12,Q3,100
11/11/2020 09:38:12,Q4,90
11/11/2020 09:38:12,Q5,20
11/11/2020 09:38:12,Q6,44
11/11/2020 09:38:12,Q7,42
11/11/2020 09:38:12,Q8,80
11/11/2020 09:38:12,Q9,34
11/11/2020 09:38:12,Q10,70
11/11/2020 09:38:12,Q11,70

11/11/2020 09:38:44,Q1,19
11/11/2020 09:38:44,Q3,34
11/11/2020 09:38:44,Q4,34
11/11/2020 09:38:44,Q5,15
11/11/2020 09:38:44,Q6,29
11/11/2020 09:38:44,Q7,40
11/11/2020 09:38:44,Q8,73
11/11/2020 09:38:44,Q9,39
11/11/2020 09:38:44,Q10,24
11/11/2020 09:38:44,Q11,30

11/11/2020 09:36:37,Q1,33
11/11/2020 09:36:37,Q3,91
11/11/2020 09:36:37,Q4,69
11/11/2020 09:36:37,Q5,40
11/11/2020 09:36:37,Q6,64
11/11/2020 09:36:37,Q7,50
11/11/2020 09:36:37,Q8,80
11/11/2020 09:36:37,Q9,33
11/11/2020 09:36:37,Q10,62
11/11/2020 09:36:37,Q11,62

11/11/2020 09:42:38,Q1,44
11/11/2020 09:42:38,Q3,46
11/11/2020 09:42:38,Q4,45
11/11/2020 09:42:38,Q5,29
11/11/2020 09:42:38,Q6,43
11/11/2020 09:42:38,Q7,48
11/11/2020 09:42:38,Q8,80
11/11/2020 09:42:38,Q9,32
11/11/2020 09:42:38,Q10,63
11/11/2020 09:42:38,Q11,68

11/11/2020 09:42:55,Q1,50
11/11/2020 09:42:55,Q3,90
11/11/2020 09:42:55,Q4,90
11/11/2020 09:42:55,Q5,15
11/11/2020 09:42:55,Q6,40
11/11/2020 09:42:55,Q7,45
11/11/2020 09:42:55,Q8,80
11/11/2020 09:42:55,Q9,40
11/11/2020 09:42:55,Q10,75
11/11/2020 09:42:55,Q11,45

11/11/2020 09:42:30,Q1,32
11/11/2020 09:42:30,Q3,65
11/11/2020 09:42:30,Q4,41
11/11/2020 09:42:30,Q5,19
11/11/2020 09:42:30,Q6,40
11/11/2020 09:42:30,Q7,46
11/11/2020 09:42:30,Q8,84
11/11/2020 09:42:30,Q9,31
11/11/2020 09:42:30,Q10,72
11/11/2020 09:42:30,Q11,61

11/11/2020 09:36:56,Q1,25
11/11/2020 09:36:56,Q3,20
11/11/2020 09:36:56,Q4,50
11/11/2020 09:36:56,Q5,20
11/11/2020 09:36:56,Q6,42
11/11/2020 09:36:56,Q7,46
11/11/2020 09:36:56,Q8,80
11/11/2020 09:36:56,Q9,35
11/11/2020 09:36:56,Q10,65
11/11/2020 09:36:56,Q11,65

11/11/2020 08:52:39,Q1,
11/11/2020 08:52:39,Q3,
11/11/2020 08:52:39,Q4,
11/11/2020 08:52:39,Q5,
11/11/2020 08:52:39,Q6,
11/11/2020 08:52:39,Q7,
11/11/2020 08:52:39,Q8,
11/11/2020 08:52:39,Q9,
11/11/2020 08:52:39,Q10,
11/11/2020 08:52:39,Q11,

11/11/2020 08:29:01,Q1,
11/11/2020 08:29:01,Q3,
11/11/2020 08:29:01,Q4,
11/11/2020 08:29:01,Q5,
11/11/2020 08:29:01,Q6,
11/11/2020 08:29:01,Q7,
11/11/2020 08:29:01,Q8,
11/11/2020 08:29:01,Q9,
11/11/2020 08:29:01,Q10,
11/11/2020 08:29:01,Q11,

11/11/2020 10:17:04,Q1,25
11/11/2020 10:17:04,Q3,100
11/11/2020 10:17:04,Q4,
11/11/2020 10:17:04,Q5,
11/11/2020 10:17:04,Q6,
11/11/2020 10:17:04,Q7,
11/11/2020 10:17:04,Q8,
11/11/2020 10:17:04,Q9,
11/11/2020 10:17:04,Q10,
11/11/2020 10:17:04,Q11,

12/11/2020 23:43:04,Q1,
12/11/2020 23:43:04,Q3,
12/11/2020 23:43:04,Q4,
12/11/2020 23:43:04,Q5,
12/11/2020 23:43:04,Q6,
12/11/2020 23:43:04,Q7,
12/11/2020 23:43:04,Q8,
12/11/2020 23:43:04,Q9,
12/11/2020 23:43:04,Q10,
12/11/2020 23:43:04,Q11,

08/02/2021 08:05:34,Q1,29
08/02/2021 08:05:34,Q3,92
08/02/2021 08:05:34,Q4,80
08/02/2021 08:05:34,Q5,22
08/02/2021 08:05:34,Q6,65
08/02/2021 08:05:34,Q7,87
08/02/2021 08:05:34,Q8,77
08/02/2021 08:05:34,Q9,30
08/02/2021 08:05:34,Q10,59
08/02/2021 08:05:34,Q11,81

12/02/2021 13:59:38,Q1,25
12/02/2021 13:59:38,Q3,80
12/02/2021 13:59:38,Q4,70
12/02/2021 13:59:38,Q5,18
12/02/2021 13:59:38,Q6,75
12/02/2021 13:59:38,Q7,40
12/02/2021 13:59:38,Q8,70
12/02/2021 13:59:38,Q9,40
12/02/2021 13:59:38,Q10,65
12/02/2021 13:59:38,Q11,90

13/02/2021 14:16:53,Q1,15
13/02/2021 14:16:53,Q3,90
13/02/2021 14:16:53,Q4,72
13/02/2021 14:16:53,Q5,19
13/02/2021 14:16:53,Q6,35
13/02/2021 14:16:53,Q7,45
13/02/2021 14:16:53,Q8,76
13/02/2021 14:16:53,Q9,31
13/02/2021 14:16:53,Q10,65
13/02/2021 14:16:53,Q11,59

13/02/2021 17:47:45,Q1,60
13/02/2021 17:47:45,Q3,90
13/02/2021 17:47:45,Q4,0
13/02/2021 17:47:45,Q5,15
13/02/2021 17:47:45,Q6,40
13/02/2021 17:47:45,Q7,45
13/02/2021 17:47:45,Q8,85
13/02/2021 17:47:45,Q9,40
13/02/2021 17:47:45,Q10,60
13/02/2021 17:47:45,Q11,60

13/02/2021 18:05:18,Q1,41
13/02/2021 18:05:18,Q3,4
13/02/2021 18:05:18,Q4,9
13/02/2021 18:05:18,Q5,24
13/02/2021 18:05:18,Q6,56
13/02/2021 18:05:18,Q7,45
13/02/2021 18:05:18,Q8,75
13/02/2021 18:05:18,Q9,34
13/02/2021 18:05:18,Q10,34
13/02/2021 18:05:18,Q11,50

14/02/2021 00:51:03,Q1,25
14/02/2021 00:51:03,Q3,35
14/02/2021 00:51:03,Q4,80
14/02/2021 00:51:03,Q5,15
14/02/2021 00:51:03,Q6,30
14/02/2021 00:51:03,Q7,45
14/02/2021 00:51:03,Q8,75
14/02/2021 00:51:03,Q9,25
14/02/2021 00:51:03,Q10,30
14/02/2021 00:51:03,Q11,40

14/02/2021 08:48:57,Q1,20
14/02/2021 08:48:57,Q3,85
14/02/2021 08:48:57,Q4,75
14/02/2021 08:48:57,Q5,20
14/02/2021 08:48:57,Q6,35
14/02/2021 08:48:57,Q7,45
14/02/2021 08:48:57,Q8,75
14/02/2021 08:48:57,Q9,30
14/02/2021 08:48:57,Q10,75
14/02/2021 08:48:57,Q11,65

14/02/2021 12:05:13,Q1,30
14/02/2021 12:05:13,Q3,50
14/02/2021 12:05:13,Q4,80
14/02/2021 12:05:13,Q5,17
14/02/2021 12:05:13,Q6,40
14/02/2021 12:05:13,Q7,48
14/02/2021 12:05:13,Q8,85
14/02/2021 12:05:13,Q9,28
14/02/2021 12:05:13,Q10,30
14/02/2021 12:05:13,Q11,43

14/02/2021 14:05:30,Q1,33
14/02/2021 14:05:30,Q3,62
14/02/2021 14:05:30,Q4,30
14/02/2021 14:05:30,Q5,20
14/02/2021 14:05:30,Q6,71
14/02/2021 14:05:30,Q7,80
14/02/2021 14:05:30,Q8,69
14/02/2021 14:05:30,Q9,40
14/02/2021 14:05:30,Q10,65
14/02/2021 14:05:30,Q11,41

14/02/2021 16:10:38,Q1,20
14/02/2021 16:10:38,Q3,80
14/02/2021 16:10:38,Q4,94
14/02/2021 16:10:38,Q5,14
14/02/2021 16:10:38,Q6,80
14/02/2021 16:10:38,Q7,81
14/02/2021 16:10:38,Q8,70
14/02/2021 16:10:38,Q9,56
14/02/2021 16:10:38,Q10,62
14/02/2021 16:10:38,Q11,60

14/02/2021 16:50:52,Q1,14
14/02/2021 16:50:52,Q3,60
14/02/2021 16:50:52,Q4,50
14/02/2021 16:50:52,Q5,14
14/02/2021 16:50:52,Q6,40
14/02/2021 16:50:52,Q7,35
14/02/2021 16:50:52,Q8,70
14/02/2021 16:50:52,Q9,14
14/02/2021 16:50:52,Q10,30
14/02/2021 16:50:52,Q11,59

14/02/2021 23:56:41,Q1,24
14/02/2021 23:56:41,Q3,86
14/02/2021 23:56:41,Q4,80
14/02/2021 23:56:41,Q5,12
14/02/2021 23:56:41,Q6,85
14/02/2021 23:56:41,Q7,90
14/02/2021 23:56:41,Q8,80
14/02/2021 23:56:41,Q9,45
14/02/2021 23:56:41,Q10,70
14/02/2021 23:56:41,Q11,60

15/02/2021 08:54:57,Q1,10
15/02/2021 08:54:57,Q3,25
15/02/2021 08:54:57,Q4,80
15/02/2021 08:54:57,Q5,45
15/02/2021 08:54:57,Q6,45
15/02/2021 08:54:57,Q7,45
15/02/2021 08:54:57,Q8,80
15/02/2021 08:54:57,Q9,50
15/02/2021 08:54:57,Q10,50
15/02/2021 08:54:57,Q11,60
